Gemeente,Gebundelde uitkering Budget Definitief,Lasten Definitief,Baten Definitief,Participatiebudget Budget Voorlopig,Participatiebudget w.v. Educatiemiddelen Voorlopig,Bbz Budget Definitief,Best. levensonderhoud,Best. kapitaal,Best. onderzoek,Best. Bob,Best. Bob uitvoeringskosten,Baten levensonderhoud,Baten kapitaal,Baten Bob
Lansingerland,6334160,6902062,183475,461916,98962,13566,45364,30000,52291,0,0,0,121451,0
Leudal,3878196,4763835,85838,368776,51147,6764,57647,60000,24610,0,0,9313,166160,0
Maasgouw,3680631,4037014,72788,397833,34194,23379,82502,106391,36041,275037,3148,34865,67428,152055
Eemsmond,5306538,6139698,186569,643971,55510,10415,48685,6800,19727,0,0,7200,19347,0
Gemert-Bakel,4622064,5078597,111771,480030,52459,8006,42438,0,15221,0,0,15538,56418,0
Halderberge,4939383,6071558,158221,573391,90883,59042,45006,84100,91748,0,0,24967,114432,0
Heeze-Leende,1454923,1494821,46220,155103,40218,2339,13165,96000,17051,0,0,12184,91446,0
Laarbeek,2595830,2631504,51421,245586,31801,6961,27577,14200,7284,0,0,16584,24379,0
De Marne,3063316,3381961,100238,387858,23253,4572,64480,9541,2542,0,0,7489,62112,0
Reusel-De Mierden,1120136,1067608,19966,103497,20580,19598,9541,0,13402,0,0,9739,31755,0
Roerdalen,3960389,3697144,102237,430406,27845,18099,43189,156896,29242,0,0,0,74520,0
Maasdonk,823652,903400,19944,96362,24656,0,0,0,7747,0,0,0,12752,0
Roosendaal,22759201,23461518,690846,2706741,201818,20957,68960,112000,135620,0,0,54116,96537,0
Schouwen-Duiveland,5329002,5736513,154684,602840,76137,6421,54189,25000,33098,0,0,62517,75623,0
Aa en Hunze,4101051,4448435,389613,644198,79752,50894,119715,31000,37984,0,0,35672,114204,0
Borger-Odoorn,6214895,6784784,143018,859477,53751,11372,127324,150000,11442,0,0,0,31020,0
Cuijk,5203389,5326808,108175,437268,76147,8007,10784,0,17763,0,0,912,12580,0
Landerd,963911,1219647,2671,104742,22669,0,0,0,0,0,0,0,31595,0
De Wolden,2769141,2743628,106424,318206,60670,37593,113059,15000,35673,0,0,51912,84592,0
Noord-Beveland,1169770,1217207,0,125228,8179,5411,30059,48000,14753,0,0,1200,41679,0
Wijdemeren,2630730,2969739,28933,241529,34318,2689,103864,33500,23802,0,0,307,17342,0
Noordenveld,6825775,7558594,170609,895297,78259,16983,126758,131179,90218,0,0,196,93623,0
Twenterand,6124570,6517319,103325,633972,90268,19319,276508,244752,76634,0,0,145243,44024,0
Westerveld,3572569,4073244,104828,356974,38120,21725,93079,0,19774,0,0,22616,37450,0
Sint Anthonis,738463,858722,5445,77252,14185,5964,19744,128000,14816,0,0,1880,26094,0
Lingewaard,7489952,6631315,17837,752785,122759,8847,39771,0,20426,0,0,1502,72280,0
Cranendonck,2767266,3379897,58135,300227,63465,5569,21018,15000,14674,0,0,39,7108,0
Steenwijkerland,11703289,12330509,334930,1453231,130097,16825,101303,6000,18467,0,0,39612,69114,0
Moerdijk,5459773,5442163,123892,504685,89606,8168,38757,340670,54821,0,0,2845,35320,0
Echt-Susteren,6676524,6756014,116749,801652,53122,31252,81452,88083,26750,0,0,0,171701,0
Sluis,4076787,4046128,110777,481298,48280,2083,0,35500,32468,0,0,0,7132,0
Drimmelen,1984814,2138657,61116,295004,56104,1781,0,6236,10630,0,0,0,26204,0
Bernheze,3035883,3363143,25186,267162,67595,11525,27294,0,24264,0,0,10535,40811,0
Ferwerderadiel,2176073,2510692,42766,283159,27255,5264,49138,0,9128,0,0,6587,24138,0
Alphen-Chaam,671246,947778,18047,64034,12266,2616,2066,56369,3076,0,0,0,130829,0
Bergeijk,2073485,2034724,26168,186047,26207,3086,0,34400,6470,0,0,25867,29596,0
Bladel,1683434,1882315,25554,182250,47385,18242,27921,100000,22636,0,0,9103,64361,0
Gulpen-Wittem,1902650,1901621,6479,240397,39816,0,0,0,8428,0,0,0,10080,0
