Gemeente,Gebundelde uitkering Budget Definitief,Gebundelde uitkering Lasten Definitief,Gebundelde uitkering Baten Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Lasten Voorlopig,w.v. besteding bij ROCs Voorlopig,w.v. besteding bij ROCs Baten Voorlopig,w.v. bij ROC Voorlopig,Bbz Budget Definitief
Gorinchem,8526858,8453314,305076,1947970,284262,2706826,284262,76456,0,4945
Gouda,16959404,18716953,396981,3893430,469572,5068721,469572,0,0,7395
's-Gravenhage,308451873,304584617,10875221,67679382,4777330,76855630,4741462,1583,24,599560
Hardinxveld-Giessendam,1117772,1374558,82625,281529,113267,341529,113267,0,0,6992
Hellevoetsluis,10405803,9669696,282983,1885809,274874,2526025,262165,14828,0,111672
Hendrik-Ido-Ambacht,2532936,2815994,35828,463282,148640,429529,148640,2068,0,7806
Stede Broec,1805382,2235258,35416,400437,145300,523234,144840,0,0,21752
Hillegom,2256735,2526716,46530,472328,135128,535506,135128,8990,0,35025
Katwijk,7369290,8044927,336394,1656953,422051,1918218,422051,4300,0,34959
Krimpen aan den IJssel,4365731,4856377,89372,708702,173950,915088,173950,13146,0,5004
Leerdam,3576116,3452193,131493,698028,162096,988028,162096,0,0,1801
Leiden,39209308,41686432,1071880,8636278,722734,7838355,0,111881,0,39702
Leiderdorp,3747842,4232371,154192,684451,140111,485175,0,0,0,2845
Lisse,2101964,2116035,51474,421732,136940,481312,136940,2809,0,6113
Maassluis,10656758,10713030,171109,2437671,264053,2787072,264053,25926,0,8246
Middelharnis,1308807,1405378,24561,297312,106198,284598,106378,0,0,4351
Bernisse,898726,980494,40788,207866,75303,192245,73410,540,0,11243
Nieuwkoop,1965899,2294988,19850,449066,165402,410657,165402,6761,0,11231
Nieuw-Lekkerland,1065098,884382,34708,182839,56616,239839,56616,0,0,0
Noordwijk,2843760,2923262,81483,529464,153959,605389,153959,12137,0,10681
Noordwijkerhout,1275441,1420338,48102,353666,87395,395417,87395,3417,0,534
Oegstgeest,2357008,2631119,36489,361472,86616,329878,86616,3360,0,6668
Oostflakkee,956559,881157,11488,171154,61158,171154,61158,0,0,14226
Oud-Beijerland,2652469,2796700,79486,443920,122237,445442,122237,22331,0,8647
Binnenmaas,2332890,2358389,30772,466360,176553,455796,176553,21055,0,21853
Korendijk,718661,705253,7543,154063,61213,130239,61213,6061,0,1453
Oudewater,625523,946246,20643,135443,61289,185017,53746,2817,0,0
Papendrecht,5117484,5334741,127461,1042520,178757,991620,178757,9730,0,21287
Ridderkerk,8687489,8596010,146413,1567635,327392,2434362,321254,40045,25769,57536
Rotterdam,485516468,525197407,7745217,107995412,6435427,136728910,6558575,25948,0,377816
Rijswijk,16670126,15604502,353536,3344346,321203,3778604,321203,103114,68718,92528
Schiedam,36733935,34998248,1486407,7694847,717401,8640757,625403,39387,0,26545
Schoonhoven,2185933,2615465,21070,387002,73395,376323,73395,0,0,15269
Sliedrecht,4328886,4194283,90569,713043,157503,827712,157503,2930,0,8185
Cromstrijen,1055830,924637,22811,206622,65838,193171,65838,8294,0,18013
Spijkenisse,26424114,25918741,792241,5249288,581206,6695723,581373,413266,0,56864
Albrandswaard,3277715,3537675,38968,426246,129692,588880,112482,15107,0,21152
Westvoorne,1060954,1034291,20004,228836,87956,216650,90713,5115,0,3643
Strijen,755559,867894,11977,142923,51806,136758,51806,6061,0,0
Vianen,2665311,2730645,53801,489710,134253,515973,133244,2709,0,4506
Vlaardingen,30200192,28619214,895565,6074690,586513,6007682,586513,63828,0,42666
Vlist,653136,789021,8885,129843,58987,148357,58987,0,0,6025
Voorschoten,3046217,3343981,56973,451219,123991,624352,123991,2437,0,3374
Waddinxveen,2235954,2754323,235425,559594,162737,484637,162737,0,0,9722
Wassenaar,3658414,3976250,83777,820409,131898,1217079,225073,0,0,5219
Woerden,5585685,6340946,154037,989282,263342,1942937,255791,63165,0,10685
Zoetermeer,37580611,36820698,119250,7737249,860125,9212500,860125,0,0,33704
Zoeterwoude,480537,715202,22519,97752,40841,40534,40534,0,0,905
Zwijndrecht,10353808,10865632,180757,2241601,322614,2636737,322614,5536,0,8509
Nederlek,1872896,2030523,40023,295622,85501,344367,85501,0,0,7629
Ouderkerk,507670,696888,5736,126188,58300,126607,58300,0,0,0
Gaasterlân-Sleat,959454,1205955,26383,216027,53652,269299,53652,9995,0,6587
Borsele,2194001,2371493,31264,460793,125106,434851,132710,1056,0,79237
Goes,8229185,8427941,0,1919630,211101,2666442,247729,0,0,17392
West Maas en Waal,1797841,2114909,40039,346997,102629,175631,0,3570,0,76001
Hulst,3880753,3867605,71917,688649,169221,815224,169221,0,0,17362
Kapelle,654816,661850,45426,185989,63466,234066,65490,0,0,33289
Middelburg,15282281,19766977,460102,2902428,292281,3639921,381088,0,0,32148
Giessenlanden,797864,911383,38387,202435,84632,232435,84632,0,0,0
Graafstroom,307658,498000,86924,103974,55864,133974,55864,0,0,21967
Liesveld,526402,600723,22185,138818,63171,188818,63171,0,0,0
Reimerswaal,2395356,2116537,54131,500971,136579,583989,145535,1330,0,66452
Zederik,900018,808563,26540,197369,79476,227369,79476,0,0,0
Terneuzen,12364979,12068433,300243,3152755,385574,2753332,385577,6879,0,24886
Tholen,3345772,3150144,93690,623001,159823,718792,159823,0,0,33534
Veere,1844227,2316545,305936,347901,114680,458183,142122,2160,0,20651
Vlissingen,18175651,19536097,401398,4051465,329536,5192817,466557,6252,0,25795
Lingewaal,922972,994104,62090,191653,69137,261653,69137,0,0,0
De Ronde Venen,4449011,4399085,134361,863556,258601,1163768,258601,0,0,6334
Tytsjerksteradiel,5603866,6493726,127234,958548,185716,1134516,185716,13032,0,22941
Aalburg,770745,784998,782,169256,84894,231761,84257,13265,0,9166
Asten,2386097,2126907,40928,355433,94907,388355,94907,5040,0,36960
Baarle-Nassau,740508,650834,21629,130328,39704,124295,39406,0,0,8976
Bergen op Zoom,19305425,19325505,624472,4216232,491153,4780429,491153,3980,0,70065
Best,5002245,4963717,93033,750814,146875,816006,145994,0,0,18444
Boekel,801791,864514,11581,165252,66657,185774,66157,195,195,6929
Boxmeer,3172804,3408427,29113,546467,174865,565010,173551,0,0,74290
Boxtel,4288944,4546168,87503,849328,199058,1039755,199058,42874,0,11950
Breda,56704469,53332251,1483267,11418764,1080409,12115720,1080409,40000,0,28645
Deurne,4674447,4598114,108533,864660,197106,1175365,201161,1530,0,77099
Pekela,4741570,5401581,155281,1012526,97823,1487729,96617,15756,0,44888
Dongen,3018547,3632857,122322,587805,169219,651646,143852,0,0,18097
Eersel,1014127,1213702,31753,251166,88993,264689,88993,0,0,11007
Eindhoven,98072788,81236750,1914890,18218895,1544537,19223052,1489100,0,0,709784
Etten-Leur,7990824,7331119,215196,1735538,277297,1586614,278521,3381,0,20207
Geertruidenberg,3438035,3346630,214326,497771,129309,784890,129309,0,0,13686
Gilze en Rijen,3696676,4202045,83462,678639,158139,1124498,156951,7327,0,29949
Goirle,2899204,2858007,172990,452334,127542,543567,126854,5522,0,28013
Grave,1579217,1526981,65985,286397,80333,361504,80333,0,0,5025
Haaren,800764,818907,14946,166856,74789,165457,74789,2670,0,27754
Helmond,33081186,33122791,571827,7841023,682081,9538918,636562,662446,0,65827
's-Hertogenbosch,46051948,46542239,973875,8918490,934474,12113742,940470,3624,0,78802
Heusden,6684405,6292285,115016,1159048,291972,1264696,291972,83620,72405,69374
Hilvarenbeek,822755,1039154,25313,183120,74161,159938,74161,0,0,21066
Loon op Zand,2550064,2846259,117146,452169,164363,566710,212130,10582,7826,8627
Mill en Sint Hubert,1153389,1125317,7327,214572,69763,214572,69763,0,0,19026
"Nuenen, Gerwen en Nederwetten",4136128,4372661,53251,509023,115135,535288,76510,4727,0,8749
Oirschot,990449,1232286,24299,233999,100810,236752,100810,311,0,30938
Oisterwijk,2884408,3128566,120954,465860,146048,547898,146048,4783,0,27941
Oosterhout,9644094,11994398,297209,1766644,357085,1204387,359537,320,0,71486
Oss,16417868,16562970,349139,3390349,592270,4306088,592270,294485,0,33042
Rucphen,3897254,3667378,95224,590378,184136,727722,184136,433,0,25134
Schijndel,2505241,2584683,31661,436773,152808,447969,152808,11196,0,22393
