Gemeente,Gebundelde uitkering,Gebundelde uitkering Lasten Definitief,Gebundelde uitkering Baten Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Lasten Definitief,,Participatiebudget Baten Definitief,w.v. bij ROC Definitief,Bbz Budget Definitief,Bbz Lasten Voorlopig,Bbz Baten Voorlopig,Rijksvergoeding Voorlopig
Lingewaard,4994773.63183183,6070182,236438,1976022.95726549,375380.613026025,1966041,375381,21154,0,14194.3668405838,582051,140903,336824.85
Cranendonck,1967927.21720678,2494729,49145,766172.63729366,174383.35589271,856390,174383,41440,41440,39807.1018221676,122215,24718,74482.5
Steenwijkerland,7361816.10943859,7698559,291516,3427436.70014436,361659.996954826,3453794,361660,8061,0,64401.1069517152,420183,71163,273448.35
Moerdijk,3180527.82880668,3887647,128516,1154132.51976232,308966.880431458,1532275,308967,0,0,49401.3089726088,59755,68032,-4172.4
Echt-Susteren,4527909.22602188,5656858,145774,2061432.37805429,278911.57513653,1964791,278912,0,0,85314.6264454011,379129,154589,176761.05
Sluis,2937500.6361401,3409551,107187,1228609.00583068,194979.022680599,1005054,194979,6853,0,15051.7599462923,271621,32606,183607.8
Drimmelen,1425386.71031476,1645160,42279,665740.548456445,209377.709056927,728035,209378,51654,0,6517.0492773309,250797,61994,145194.9
Bernheze,2051226.53352666,2640920,67484,934912.801057101,245258.086655344,840967,247216,3528,0,2287.0606766924,69346,101862,-20417.7
Ferwerderadiel,1287268.83872106,1752178,166095,642122.291428091,73087.0020263387,674516,73087,55994,0,23504.2720596566,100938,35636,49969.05
Alphen-Chaam,445155.524537231,501956,8210,340280.210255472,76778.8149441094,228582,76779,0,0,70594.8633222122,34888,49484,-10513.8
Bergeijk,1393179.69246525,1568283,27463,500597.549522323,122076.645095062,467354,0,0,0,593.1693702259,10905,21184,-6586.8
Bladel,964104.426177376,1163142,40946,467280.576109717,153846.321640297,703010,232595,143895,138853,49159.4988538771,70151,99571,-21024.45
Gulpen-Wittem,1342749.34174939,1538088,41884.42,625166.468349478,126297.827047442,580625,126298,0,0,1158.2953370575,145586,35201,85190.85
Tynaarlo,3500389.3436823,4170136,63377,1150048.0000856,185433.355315345,1101280,185433,0,0,28400.1217255433,258431,24202,186163.2
Midden-Drenthe,4117735.83266345,5041119,157535,1458818.821821,263436.206231807,1403493,263436,339,0,51796.0513630221,446522,164695,218743.65
Overbetuwe,5384974.92294165,6021588,282064,2094119.12598478,366192.68192887,2265899,366193,8869,0,41123.9901301553,578009,189216,298806.6
Hof van Twente,3138048.94587161,3564409,73407,1441157.41279564,276737.903177095,1559955,261037,9059,0,108042.478891349,864897,356282,389299.35
Neder-Betuwe,1784668.39499976,2134301,32417,767039.987384682,216056.691376083,762120,216057,9187,0,39902.8036068534,586336,91438,378117.9
Rijssen-Holten,2766277.07384886,3355995,230582,1085319.3506879,301542.513748265,1474902,269520,67856,0,18230.0612723517,261052,111038,119851.2
Geldrop-Mierlo,6002869.59828876,7728336,232239,2549185.42318457,337507.443407114,1835054,337507,43659,38544,21548.8090280415,125201,83328,35966.85
Olst-Wijhe,1613474.13491531,1555816,98372,710175.077790105,125699.718201091,830338.71,125700,23615,0,2157.1488763476,250040,20866,176191.5
Dinkelland,1154360.55223435,1702961,7664,599706.48403971,196863.11691256,614080,196863,3519,0,12617.3658719566,462851,89397,288989.55
Westland,8618581.29344588,10875285,278418,3415662.5205268,846728.761522062,3150368,846729,0,0,228494.117902163,2426312,973855,1112129.55
Midden-Delfland,900547.89832476,949897,11144,529099.620734549,121062.532816205,433742,93410,150089,149909,66712.4165464277,299815,0,226515
Berkelland,3936380.88561773,5638170,214541,1478192.94937845,318404.264824011,1549366,318404,7333,0,98649.5584076143,928035,229183,534323.1
Bronckhorst,2069691.28869244,3099242,86008,750999.905970367,264425.626302659,715060,275361,884,0,32465.0983890624,1009377,194773,621289.05
Sittard-Geleen,32847777.1702723,36087486,873600,14530007.4304653,942088.030046902,17119905.39,942088,79802,0,92601.2358979468,322255,205481,100162.8
Kaag en Braassem,1128073.92953814,1516859,38115,651553.506519188,200525.366366857,724834,200525,4392,0,15779.7000769734,83951,90421,-2084.25
Dantumadiel,4519640.4634353,5027341,134399,1848615.12544602,173381.419393345,2329288,175650,31433,0,52868.4591889312,197629,79476,91972.95
Zuidplas,4065575.9823209,4498867,73027,1939669.47732469,314353.528586062,2005586,314354,306079,0,7559.2709856138,564479,207107,274659.6
Peel en Maas,3015670.84128883,4107101,92536,1113732.41440539,371462.460320555,1363392,371462,13164,0,145235.781351857,534039,596035,-39569.1
