Gemeente,Gebundelde uitkering Budget Definitief,Gebundelde uitkering Lasten Definitief,Gebundelde uitkering Baten Definitief,Participatiebudget Budget Definitief,Participatiebudget w.v. Educatiemiddelen Definitief,,w.v. besteding bij ROC Definitief,Participatiebudget Baten Definitief,w.v. bij ROC Definitief,Bbz Budget Definitief
Gulpen-Wittem,1355430.30928253,1517054,58486,565433.777841882,94188,662217,0,1222,0,2478.7378347491
Tynaarlo,3755214.33611621,4530175,152584,1138085.88765488,146154,1031889,145527,0,0,34004.6439335889
Midden-Drenthe,4429540.78210641,4871322,69321,1327723.38264285,201862,1358612,200996,0,0,27031.1660100761
Overbetuwe,5567339.74466916,6181461,234242,1817327.94657258,284015,1579382,284015,38416,0,46500.6630547771
Hof van Twente,3348338.6817451,3818120,47748,1228738.72123155,214512,1228374,213591,5689,0,107080.717429535
Neder-Betuwe,1810035.41106758,2357194,124696,659871.640030993,160127,382777,0,1168,0,107045.10990632
Rijssen-Holten,2876412.07753295,3527734,154519,988948.996700458,225926,1025778,190790,113685,0,48460.2349097506
Geldrop-Mierlo,6020824.54537527,8331265,248569,2462668.95461677,258853,1566530,258852,17284,0,55343.7747725382
Olst-Wijhe,1567432.9004177,1415664,40691,630187.445052963,98459,601650,98459,21600,0,283.9229084713
Dinkelland,1367665.0185971,1834299,10127,447436.386665191,149235,0,0,0,0,64301.1306735533
Westland,9427422.39099665,11440398,402842,3012927.80790179,649778,3081273,632953,0,0,873395.992402679
Midden-Delfland,954335.296785956,1102101,9313,477972.330381451,93865,253140,93462,0,0,3733.1933109346
Berkelland,4404998.16238321,6465547,210256,1500543.48705985,246245,1502615,246245,43418,0,66029.929548722
Bronckhorst,2558633.9584151,3163993,49383,739498.719760613,205035,675297,205035,2041,0,59802.6459819305
Sittard-Geleen,31405502.1534965,37520101,944734,14416056.7014226,709034,12791963,709034,367925,0,53096.9139220468
Kaag en Braassem,1375024.21941153,1673444,64421,564305.908753666,157737,1071172,709034,666,0,62740.8749761643
Dantumadiel,4604918.64688968,5507793,130828,1643256.32874095,132008,1477636,132008,16355,0,57091.5219690331
Zuidplas,4061974.6472768,5069560,82167,1605558.69399979,246916,1570966,246916,1607971,onjuist,6576.2616274593
Peel en Maas,3614924.51623052,4107902,68208,979943.933840205,285364,1029420,285364,49476,0,464640.366931667
Oldambt,13294560.2859689,16220777,736454,6127493.55117992,301432,6599251,300139,8513,0,47323.2410012251
Zwartewaterland,1418211.19101497,1848916,52850,330605.876402039,134480,513522,143401,1350,0,16797.4863324246
Súdwest Fryslân,17971842.981273,21118657,383616,6482077.24355665,472853,7571563,472853,334279,0,155982.612700319
Bodegraven-Reeuwijk,2323602.40765417,2580035,82052,919936.834810781,200665,10647807,200665,0,0,42208.5686160397
Eijsden-Margraten,2251902.19658128,2564965,67859,906861.771872735,135691,957790,0,4422,0,19718.2945870039
Stichtse Vecht,6271345.20726716,7840571,248170,2157301.66123765,360363,2072810,417901,4405,0,9273.1011745769
Menameradiel,1402723.46230518,1902535,25436,594135.7814007,79747,508571,79747,44622,0,35373.6004430441
Leidschendam-Voorburg,17917485.965335,21133335,445700,7742711.17371033,485752,7666651,675596,18629,0,77415.6761752882
Pijnacker-Nootdorp,3798107.66547766,5344523,42973,1252246.30530573,245294,1421126,244242,5355,0,176751.11292742
Montferland,4284154.19218922,5525956,292594,1526981.46459194,246562,1824251,246562,12699,0,75413.602401944
Menterwolde,3132131.00343053,3648869,192294,1339414.66595654,92132,1459112,91736,48833,0,47784.4715309909
