Gemeente,WWB Budget Definitief,,W.v. budget 65+ Definitief,Uitgaven Definitief,W.v. uitgaven 65- Definitief,W.v. uitgaven 65+ Definitief,WWB Budget Ontvangsten Definitief,W.v. ontvangsten 65- Definitief,W.v. ontvangsten 65+ Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Beschikbaar Voorlopig,Participatiebudget Lasten Definitief,w.v. besteding bij ROCs Definitief,Participatiebudget Baten Definitief,w.v. bij ROCs Definitief,Reserveringsregeling Voorlopig,IOAW Budget Definitief,,IOAW Ontvangsten Definitief,IOAW Rijksvergoeding Voorlopig,IOAZ Budget Definitief,IOAZ Uitgaven Definitief,IOAZ Ontvangsten Definitief,IOAZ Rijksvergoeding Voorlopig,Bbz Budget Definitief,Bbz Uitgaven Voorlopig,Bbz Ontvangsten Voorlopig,Bbz Rijksvergoeding Voorlopig
Neder-Betuwe,1421126,1378170.12485383,45732.6238428325,1627133,1595906,31227,68297,67382,915,867575.831248289,287679.806504684,869484.070793991,919481,303790,0,0,-49996.929206009,38059,120472,18234,76678.5,7485,59469,0,44601.75,48019,616167,148654,359896.65
Rijssen-Holten,2661190,2347600.55246858,318788.425516088,2790652,2502110,288542,73243,57031,16212,1439580.46304785,408262.569187146,1707286.56252678,1576993,408263,112457,0,240460.562526777,70553,172014,13732,118711.5,4584,59663,3660,42002.25,73241,301914,81070,171184.95
Geldrop-Mierlo,6201559,5997098.76726569,216576.969194501,6083145,5842707,240438,141462,138630,2832,2734290.06851268,461924.354609598,3377290.77391462,3070232,447523,0,0,206694.773914621,98317,258890,4093,191097.75,8464,28006,0,21004.5,32686,410984,142589,202162.65
Olst-Wijhe,1214762,1113548.1392203,14174.2758683478,1444586,1419503,25083,88914,88914,0,796681.398809685,161699.447471929,1223836.35135771,776556,161698,10035,0,199170.349702421,52126,131521,2305,96912,20058,35847,1375,25854,31021,18239,18360,2054.4
Dinkelland,884210,829030.957491272,56906.8861515693,1227877,1166354,61523,16032,16032,0,679303.993485349,273061.47335539,947677.145933615,923845,273061,4562,0,28394.1459336155,28559,153221,0,114915.75,0,18231,0,13673.25,25602,379653,75039,235316.25
Westland,8376986,8081374.54352985,311979.583100076,8848408,8545526,302882,356039,346309,9730,3870933.66379074,1153020.93607217,4554363.75782669,3944232,1153021,5000,0,560268.757826692,94868,329742,0,247306.5,54692,94233,0,70674.75,290203,4314879,882693,2603212.35
Midden-Delfland,726267,689011.661460681,38673.982399625,958928,894193,64735,32490,32490,0,553434.062566731,165362.997975691,737201.591636206,419471,165363,0,0,138358.515641683,10490,52075,0,39056.25,9305,0,0,0,6963,38691,119794,-59047.05
Berkelland,3627036,3521569.75424787,112553.863617433,4031528,3940021,91507,71151,71130,21,1557933.47367121,419757.133498875,1820788.2920905,1967604,414234,76213,0,-91110.7079095014,149365,339920,3095,252618.75,43610,69810,295,52136.25,30099,619327,102958,397753.95
Bronckhorst,1592356,1522348.68131494,73119.5705864919,2505794,2417412,88382,108687,108687,0,811537.997016161,350734.880412126,872256.342148101,940157,339800,60110,0,-97826.6578518995,74048,252430,2904,187144.5,60482,126669,0,95001.75,15699,339119,79091,200706.6
Sittard-Geleen,29753865,29062786.6836411,749211.551238864,34291420,33439416,852004,1160903,1137431,23472,13384706,,17277818.3252396,15474519,0,280902,0,711173.325239606,229822,892783,7964,663614.25,41165,195596,1551,145533.75,173052,559553,282698,227226.45
Kaag en Braassem,997529,880047.701312364,43292.8391694545,1162292,1126030,36262,43861,43861,0,649216.565903721,267987.776481491,909561.458588623,797756,267988,2802,0,113787.458588623,39280,105338,230,78831,11817,40112,0,30084,64888,409987,182695,174588.9
Dantumadiel,3828580,3769646.22954993,66412.5879679761,4423078,4359902,63176,198833,198833,0,1850264.24565079,231108.006978666,3094229.29042375,1638062,231108,8852,0,462566.061412698,37434,211352,887,157848.75,12768,30820,0,23115,29615,370607,34294,257140.65
Zwartewaterland,1170860,977146.142752668,29723.6590029037,1321592,1302895,18697,112509,112107,402,720919.000934681,242219.964025515,445771.175498679,554963,242217,0,0,-178617.824501321,11262,126551,0,94913.25,20379,11237,0,8427.75,495,95943,45359,40585.5
Leidschendam-Voorburg,18720127,17693016.5497607,1063686.69937761,18834616,17674694,1159922,532283,476002,56281,7196972.92632142,836619.96879642,9946041.0649643,5986646,836620,163102,0,1799243.23158035,116942,416898,1844,311290.5,29659,128366,0,96274.5,146581,883478,281779,471923.7
Pijnacker-Nootdorp,2663713,2574011.34267309,94906.6537010958,4140595,3916688,223907,32363,24371,7992,1278117.59052189,372184.111527707,1771213.2167592,1245402,229564,0,0,319529.397630473,39371,111724,1024,83025,4549,20815,0,15611.25,21103,845126,112760,555968.4
Montferland,4069911,3947083.54788251,130778.279052919,4379595,4227178,152417,266054,265907,147,2291620.60836034,424938.928840637,3113611.48973196,2545197,424939,4133,0,554056.489731961,35745,215574,17982,148194,31698,49141,520,36465.75,42817,535348,118628,320281.8
Menterwolde,2475136,2435740.7173511,44232.617063027,3008612,2960177,48435,203967,200847,3120,1518526.68422132,155657.867529697,2333776.38012686,1986975,155658,0,0,220973.380126858,37589,125861,1384,93357.75,24331,45424,0,34068,12533,298134,35398,201651.9
