"Divisie","FAO Code","omschrijving","totaal","jaar","type"
"Gemeenten (VNG)","1332","VRIS",5746.35,"2016","Gemeenten"
"Gemeenten (VNG)","1333","Bedrijfsprofiel jaarrekening",41057.8,"2016","Gemeenten"
"Gemeenten (VNG)","1340","KvK adressen internet",25856.57,"2016","Gemeenten"
"Gemeenten (VNG)","1350","Overig online",1489.35,"2016","Gemeenten"
"Gemeenten (VNG)","1360","Dataservices",23712918.15,"2016","Gemeenten"
"Unie van Waterschappen","1240","Adressen",309471.99,"2015","Waterschappen"
"Unie van Waterschappen","1250","Mutatieabonnementen",800553.46,"2015","Waterschappen"
"Unie van Waterschappen","1300","Uittreksels online (inzage)",212280.9,"2015","Waterschappen"
"Unie van Waterschappen","1301","Concernrelaties",206.7,"2015","Waterschappen"
"Unie van Waterschappen","1302","in t kort",5912.5,"2015","Waterschappen"
"Unie van Waterschappen","1303","Historie",8236.2,"2015","Waterschappen"
"Unie van Waterschappen","1304","Uitreksels EGU",2407.5,"2015","Waterschappen"
"Unie van Waterschappen","1305","Deponeringen",37.1,"2015","Waterschappen"
"Unie van Waterschappen","1306","Bedrijfsprofiel Uittreksels",40028.25,"2015","Waterschappen"
"Unie van Waterschappen","1307","Bedrijfsprofiel concernrelaties",6972.15,"2015","Waterschappen"
"Unie van Waterschappen","1330","Inzien jaarrekening",36.6,"2015","Waterschappen"
"Unie van Waterschappen","1332","VRIS",105.35,"2015","Waterschappen"
"Unie van Waterschappen","1333","Bedrijfsprofiel jaarrekening",12708.9,"2015","Waterschappen"
"Unie van Waterschappen","1340","KvK adressen internet",170.24,"2015","Waterschappen"
"Unie van Waterschappen","1350","Overig online",27.45,"2015","Waterschappen"
"Unie van Waterschappen","1360","Dataservices",7020487.5,"2015","Waterschappen"
"RDW","1240","Adressen",3239.53,"2015","ZBO"
"RDW","1300","Uittreksels online (inzage)",54595.3,"2015","ZBO"
"RDW","1301","Concernrelaties",26.5,"2015","ZBO"
"RDW","1302","in t kort",183,"2015","ZBO"
"RDW","1303","Historie",233.2,"2015","ZBO"
"RDW","1304","Uitreksels EGU",22.5,"2015","ZBO"
"RDW","1305","Deponeringen",2.65,"2015","ZBO"
"RDW","1306","Bedrijfsprofiel Uittreksels",1446.9,"2015","ZBO"
"RDW","1307","Bedrijfsprofiel concernrelaties",124.55,"2015","ZBO"
"RDW","1330","Inzien jaarrekening",9.15,"2015","ZBO"
"RDW","1332","VRIS",7.25,"2015","ZBO"
"RDW","1333","Bedrijfsprofiel jaarrekening",181.35,"2015","ZBO"
"RDW","1350","Overig online",3.05,"2015","ZBO"
"RDW","1360","Dataservices",1954982.65,"2015","ZBO"
"Provincies","1240","Adressen",3958.46,"2015","Provincies"
"Provincies","1250","Mutatieabonnementen",104652.29,"2015","Provincies"
"Provincies","1300","Uittreksels online (inzage)",17153.45,"2015","Provincies"
"Provincies","1301","Concernrelaties",1362.1,"2015","Provincies"
"Provincies","1302","in t kort",341.5,"2015","Provincies"
"Provincies","1303","Historie",318,"2015","Provincies"
"Provincies","1304","Uitreksels EGU",532.5,"2015","Provincies"
"Provincies","1305","Deponeringen",58.3,"2015","Provincies"
"Provincies","1306","Bedrijfsprofiel Uittreksels",5546.45,"2015","Provincies"
"Provincies","1307","Bedrijfsprofiel concernrelaties",3052.8,"2015","Provincies"
"Provincies","1330","Inzien jaarrekening",549,"2015","Provincies"
"Provincies","1331","Gewaarmerkte jaarrekening",22.5,"2015","Provincies"
"Provincies","1332","VRIS",431.65,"2015","Provincies"
"Provincies","1333","Bedrijfsprofiel jaarrekening",4510.4,"2015","Provincies"
"Provincies","1340","KvK adressen internet",51.56,"2015","Provincies"
"Provincies","1350","Overig online",178.3,"2015","Provincies"
"Provincies","1360","Dataservices",421664.75,"2015","Provincies"
"Ministerie van Volksgezondheid Welzijn en Sport","1240","Adressen",580683.87,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1250","Mutatieabonnementen",58555.8,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1300","Uittreksels online (inzage)",31174.6,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1301","Concernrelaties",503.5,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1302","in t kort",136,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1303","Historie",392.2,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1304","Uitreksels EGU",1425,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1305","Deponeringen",18.55,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1306","Bedrijfsprofiel Uittreksels",21777.7,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1307","Bedrijfsprofiel concernrelaties",9245.85,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1330","Inzien jaarrekening",73.2,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1332","VRIS",42.75,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1333","Bedrijfsprofiel jaarrekening",9717.2,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1340","KvK adressen internet",19.36,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1350","Overig online",65.45,"2015","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1360","Dataservices",395585.3,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1240","Adressen",1729152.07,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1250","Mutatieabonnementen",6442.51,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1300","Uittreksels online (inzage)",294637.3,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1301","Concernrelaties",10931.25,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1302","in t kort",626.5,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1303","Historie",5306.25,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1304","Uitreksels EGU",4102.5,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1305","Deponeringen",1345.4,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1306","Bedrijfsprofiel Uittreksels",150257.2,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1307","Bedrijfsprofiel concernrelaties",63011.7,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1330","Inzien jaarrekening",3422.1,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1331","Gewaarmerkte jaarrekening",375,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1332","VRIS",1608.35,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1333","Bedrijfsprofiel jaarrekening",94211.85,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1340","KvK adressen internet",1163.27,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1350","Overig online",1271.6,"2015","Ministerie"
"Ministerie van Veiligheid & Justitie","1360","Dataservices",840.3,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1240","Adressen",138782.61,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1250","Mutatieabonnementen",1000,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1300","Uittreksels online (inzage)",227242.57,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1301","Concernrelaties",83504.4,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1302","in t kort",993.75,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1303","Historie",284,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1304","Uitreksels EGU",1291.9,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1305","Deponeringen",1275,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1306","Bedrijfsprofiel Uittreksels",154.25,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1307","Bedrijfsprofiel concernrelaties",25866.35,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1330","Inzien jaarrekening",9431.35,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1331","Gewaarmerkte jaarrekening",1299.3,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1332","VRIS",186.6,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1333","Bedrijfsprofiel jaarrekening",13204,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1340","KvK adressen internet",2,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1350","Overig online",263.45,"2015","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1360","Dataservices",1026125.7,"2015","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1250","Mutatieabonnementen",2410.48,"2015","Ministerie"
